grid_id,x_coord,y_coord,year,count_31,count_32,count_33,count_total,cluster_n,is_cluster,value_added_31,labor_total_31,wages_total_31,machinery_31,computers_31,value_added_32,labor_total_32,wages_total_32,machinery_32,computers_32,value_added_33,labor_total_33,wages_total_33,machinery_33,computers_33,dist_usa_km,dist_cdmx_km,dist_port_km
19,923792.0295,1971649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.0164522,2196.880669,1784.013637
19,923792.0295,1971649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,406.0164522,2196.880669,1784.013637
19,923792.0295,1971649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.0164522,2196.880669,1784.013637
20,923792.0295,1976649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.4037039,2199.485301,1787.340453
20,923792.0295,1976649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.4037039,2199.485301,1787.340453
20,923792.0295,1976649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,401.4037039,2199.485301,1787.340453
20,923792.0295,1976649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.4037039,2199.485301,1787.340453
21,923792.0295,1981649.062,2010,0,0,0,0,0,0,,,,,,,,,,,,,,,,396.8003372,2202.098206,1790.675049
21,923792.0295,1981649.062,2015,0,0,0,0,0,0,,,,,,,,,,,,,,,,396.8003372,2202.098206,1790.675049
21,923792.0295,1981649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,396.8003372,2202.098206,1790.675049
21,923792.0295,1981649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.8003372,2202.098206,1790.675049
22,923792.0295,1991649.062,2010,0,0,0,0,0,0,,,,,,,,,,,,,,,,387.6230847,2207.348712,1797.36741
22,923792.0295,1991649.062,2015,0,0,0,0,0,0,,,,,,,,,,,,,,,,387.6230847,2207.348712,1797.36741
22,923792.0295,1991649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,387.6230847,2207.348712,1797.36741
22,923792.0295,1991649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.6230847,2207.348712,1797.36741
